Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL VICENCIA RAQUEL,24020672,RN,Tenente Ananias,Rural,A escola não está em área de localização diferenciada,Pública,"VILA DA MATA, 383 CENTRO. 59958-000 Tenente Ananias - RN.",(84) 33865062,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-6.39996999,-38.14435085
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PEDRO MARTINS FERNANDES,24021431,RN,Viçosa,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA FRANCISCO PINTO, 164 CENTRO. 59815-000 Viçosa - RN.",,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Médio,,-5.9929499,-37.9448324
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL CLODOMIR CHAVES,24021482,RN,Almino Afonso,Urbana,A escola não está em área de localização diferenciada,Pública,"PRACA AURINO CARLOS DA SILVA, 190 CENTRO. 59760-000 Almino Afonso - RN.",(84) 33950088,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-6.1535343,-37.7668184
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL RONALD NEO JUNIOR,24021490,RN,Almino Afonso,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA MARIA IONE CARLOS, 197 CENTRO. 59760-000 Almino Afonso - RN.",(84) 33950041,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-6.1536,-37.7629467
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PEDRO GURGEL,24021504,RN,Almino Afonso,Urbana,A escola não está em área de localização diferenciada,Pública,"R ALMINO AFONSO, 140 CENTRO. 59760-000 Almino Afonso - RN.",(84) 33950025,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-6.154428333,-37.764065
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL GOVERNADOR WALFREDO GURGEL,24022144,RN,Antônio Martins,Urbana,A escola não está em área de localização diferenciada,Pública,"AV SEN JOAQUIM INACIO, 104 CENTRO. 59870-000 Antônio Martins - RN.",(84) 33920243,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-6.2149057,-37.8889783
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL FRUTUOSO GOMES,24022632,RN,Frutuoso Gomes,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DIRETORA VILENE CAMARA, 150 CENTRO. 59890-000 Frutuoso Gomes - RN.",(84) 996338484,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-6.158627,-37.84316
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL IVONETE CARLOS,24022640,RN,Frutuoso Gomes,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ERNESTO FERREIRA, 226 CENTRO. 59890-000 Frutuoso Gomes - RN.",(84) 99396129,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-6.1591616,-37.8417664
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL JOSE OSIAS,24022853,RN,João Dias,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA FRANCISCO VERISSIMO FILHO, SAO FRANCISCO. 59880-000 João Dias - RN.",(84) 920002268,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Médio,,-6.2783873,-37.7976841
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL JOAO ONOFRE,24023094,RN,Lucrécia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DOS PODERES, 213 CENTRO. 59805-000 Lucrécia - RN.",,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-6.1174283,-37.8124933
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC ESTADUAL JOSEFINA XAVIER,24023108,RN,Lucrécia,Urbana,A escola não está em área de localização diferenciada,Pública,"AV LUIZ SOLANO, 400 CENTRO. 59805-000 Lucrécia - RN.",(84) 33960137,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Médio,,-6.1177967,-37.8129165
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL ALMINO AFONSO,24023221,RN,Martins,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DR BIANOR FERNANDES, 37 CENTRO. 59800-000 Martins - RN.",(84) 999995365,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-6.0868192,-37.9109293
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL ANTONIO JOAO DE QUEIROZ,24023230,RN,Martins,Rural,A escola não está em área de localização diferenciada,Pública,"RUA PROJETADA, LAGOA NOVA. 59800-000 Martins - RN.",(84) 988503583,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-6.071666,-37.93361
